class,term,week,subject,topic,agegroup,context,generated
Jss 1,Noel Term,1,Agricultural Science,"Importance of Agriculture in Society",10-11,"Understanding agriculture as source of food, clothing, employment, raw materials for industries; recognizing agriculture's role in economy",true
Jss 1,Noel Term,2,Agricultural Science,"Types of Agricultural Practices",10-11,"Learning different types: pastoral farming (rearing animals), arable farming (crop cultivation), mixed farming (crops and animals)",true
Jss 1,Noel Term,3,Agricultural Science,"Forms of Agricultural Activities",10-11,"Understanding various activities: growing crops, rearing livestock, fish farming, processing farm produce, storing agricultural products",true
Jss 1,Noel Term,4,Agricultural Science,"Crop Plant Forms: Monocotyledons",10-11,"Learning monocotyledonous crops (one seed leaf): maize, rice, guinea corn, millet, wheat; identifying their characteristics",true
Jss 1,Noel Term,5,Agricultural Science,"Crop Plant Forms: Dicotyledons",10-11,"Learning dicotyledonous crops (two seed leaves): beans, groundnut, melon, cowpea, soybean; identifying their features",true
Jss 1,Noel Term,6,Agricultural Science,"Classification of Crops by Life Span",10-11,"Understanding annuals (complete life cycle in one year: maize, yam, rice) and perennials (live many years: cocoa, mango, oil palm)",true
Jss 1,Noel Term,7,Agricultural Science,"Uses of Crops: Food Crops",10-11,"Learning crops used as food: cereals (maize, rice), tubers (yam, cassava), pulses (beans), fruits, vegetables for nutrition",true
Jss 1,Noel Term,8,Agricultural Science,"Uses of Crops: Cash and Industrial Crops",10-11,"Understanding crops for income and industry: oil crops (palm, groundnut), beverage (cocoa, coffee), fiber (cotton), latex (rubber)",true
Jss 1,Noel Term,9,Agricultural Science,"Nutrients from Crops",10-11,"Learning nutrients crops provide: carbohydrates (energy), proteins (body building), fats and oils, vitamins, minerals for health",true
Jss 1,Noel Term,10,Agricultural Science,"Practical Classification of Crops",10-11,"Hands-on practice sorting and classifying actual crop samples by forms (mono/dicot), life span (annual/perennial), and uses",true
Jss 1,Calvary Term,1,Agricultural Science,"Types of Farm Animals",10-11,"Identifying farm animals: work animals (oxen, horses), dairy animals (cows, goats), poultry (chickens, turkeys), aquatic (fish), pets",true
Jss 1,Calvary Term,2,Agricultural Science,"Basic Characteristics of Farm Animals",10-11,"Learning to identify farm animals by external features: body covering, number of legs, body shape, size, color patterns",true
Jss 1,Calvary Term,3,Agricultural Science,"Classification by Size and Habitat",10-11,"Classifying animals by size (large: cattle, horses; small: rabbits, chickens) and habitat (aquatic: fish; terrestrial: land animals)",true
Jss 1,Calvary Term,4,Agricultural Science,"Classification by Stomach Type",10-11,"Understanding ruminants (cattle, goats, sheep with multi-chambered stomach) and non-ruminants (pigs, poultry with simple stomach)",true
Jss 1,Calvary Term,5,Agricultural Science,"Uses of Farm Animals",10-11,"Learning animal uses: food (meat, milk, eggs), work (plowing, transport), sports and guard, hides and skin, manure for crops",true
Jss 1,Calvary Term,6,Agricultural Science,"Characteristics of Weeds",10-11,"Understanding weed features: fast growth, easy dispersal (wind, animals, water), long seed dormancy, competitive with crops",true
Jss 1,Calvary Term,7,Agricultural Science,"Uses of Weeds and Control Methods",10-11,"Learning beneficial uses: medicinal plants, food (spinach-like weeds); control methods: hand pulling, hoeing, crop rotation, herbicides",true
Jss 1,Calvary Term,8,Agricultural Science,"Effects of Weed Control on Environment",10-11,"Understanding environmental impacts: herbicides can pollute soil and groundwater, contaminate livestock pasture, affect beneficial organisms",true
Jss 1,Calvary Term,9,Agricultural Science,"Classification of Insect Pests",10-11,"Learning pest types by feeding: piercing and sucking insects (aphids, bugs) and biting and chewing insects (grasshoppers, caterpillars)",true
Jss 1,Calvary Term,10,Agricultural Science,"Damage by Pests and Effects on Yield",10-11,"Understanding pest damage: holes in leaves, wilting plants, stunted growth, reduced crop yield, quality deterioration, economic losses",true
Jss 1,Summer Term,1,Agricultural Science,"Factors of Production: Land",10-11,"Understanding land as basic factor: includes soil, minerals, water bodies; importance for growing crops and grazing animals",true
Jss 1,Summer Term,2,Agricultural Science,"Factors of Production: Labour",10-11,"Learning about human effort in farming: planting, weeding, harvesting; skilled and unskilled labor; importance of workforce",true
Jss 1,Summer Term,3,Agricultural Science,"Factors of Production: Capital",10-11,"Understanding money and assets for farming: purchasing inputs (seeds, fertilizers), farm tools, machinery, buildings, working capital",true
Jss 1,Summer Term,4,Agricultural Science,"Factors of Production: Water",10-11,"Learning water's importance: crop irrigation, animal drinking, processing farm produce, essential for all agricultural activities",true
Jss 1,Summer Term,5,Agricultural Science,"Factors of Production: Management",10-11,"Understanding farm management: planning, organizing, decision-making, supervising workers, record keeping, marketing produce",true
Jss 1,Summer Term,6,Agricultural Science,"Importance of Each Production Factor",10-11,"Understanding how each factor contributes: land provides space, labor provides work, capital provides resources, water sustains life, management coordinates all",true
Jss 1,Summer Term,7,Agricultural Science,"School Farm: Planning and Layout",10-11,"Practical planning of school farm: selecting site, clearing land, marking plots, deciding what crops to plant, tool preparation",true
Jss 1,Summer Term,8,Agricultural Science,"School Farm: Land Preparation",10-11,"Hands-on practice: clearing vegetation, tilling soil, making beds or ridges, applying manure, preparing land for planting",true
Jss 1,Summer Term,9,Agricultural Science,"School Farm: Planting and Maintenance",10-11,"Practical activities: seed selection, planting at correct spacing and depth, watering, weeding, observing crop growth stages",true
Jss 1,Summer Term,10,Agricultural Science,"Integrating Agricultural Knowledge",10-11,"Applying learned concepts: identifying crop types planted, managing pests and weeds, understanding factor inputs, observing animal care practices",true
Jss 1,Noel Term,1,Basic Science,"Family Health: Sanitation",10-11,"Understanding sanitation meaning and importance; learning methods to keep school and home clean using rakes, brooms, cleaning agents",true
Jss 1,Noel Term,2,Basic Science,"Family Health: Nutrition and Balanced Diet",10-11,"Defining nutrition; understanding balanced diet with examples of different food groups; planning meals for breakfast, lunch, supper",true
Jss 1,Noel Term,3,Basic Science,"Family Health: Drug and Substance Abuse",10-11,"Understanding drug abuse meaning; learning effects of drug/substance abuse on health; recognizing dangers of addiction",true
Jss 1,Noel Term,4,Basic Science,"Environmental Pollution: Air Pollution",10-11,"Defining air pollution; identifying causes like domestic/industrial waste, vehicle emissions; understanding respiratory tract infections",true
Jss 1,Noel Term,5,Basic Science,"Environmental Pollution: Water Pollution",10-11,"Understanding water pollution from fertilizers, oil spillage, chemicals; learning about waterborne diseases and purification methods",true
Jss 1,Noel Term,6,Basic Science,"Environmental Pollution: Soil Pollution",10-11,"Learning causes of soil pollution from insecticides, non-biodegradable waste; understanding destruction of soil organisms and poor plant yield",true
Jss 1,Noel Term,7,Basic Science,"Consequences and Control of Pollution",10-11,"Understanding pollution effects on environment and humans; learning control measures like water filtration, boiling, proper waste disposal",true
Jss 1,Noel Term,8,Basic Science,"Matter: Meaning and States",10-11,"Defining matter; learning three states of matter (solid, liquid, gas); collecting and classifying objects by their states",true
Jss 1,Noel Term,9,Basic Science,"Living Things: Plants and Animals",10-11,"Identifying characteristics of living things; learning differences between plants and animals; understanding movement, feeding, reproduction",true
Jss 1,Noel Term,10,Basic Science,"Non-Living Things: Classification",10-11,"Understanding characteristics of non-living things; classifying into metals and non-metals; learning properties, uses, and importance",true
Jss 1,Calvary Term,1,Basic Science,"Energy: Meaning and Sources",10-11,"Explaining what energy is; identifying sources like sun, coal, crude oil, gas, battery; understanding energy importance",true
Jss 1,Calvary Term,2,Basic Science,"Forms of Energy",10-11,"Learning different forms: heat, light, sound, electrical, mechanical, chemical energy; observing energy in daily activities",true
Jss 1,Calvary Term,3,Basic Science,"Transformation of Energy",10-11,"Understanding how energy changes from one form to another; examples: striking match (chemical to heat/light), kicking ball (chemical to kinetic)",true
Jss 1,Calvary Term,4,Basic Science,"Uses of Energy in Daily Life",10-11,"Learning practical uses of energy: cooking, transportation, lighting, heating, running machines, communication devices",true
