class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,3,Computer Studies,"Electro-Mechanical Counting Devices",10-11,"Understanding the transition from mechanical to electro-mechanical devices including John Napier's bones (multiplication tool), Blaise Pascal's machine, Gottfried Leibniz machine, Joseph Jacquard's loom, and Charles Babbage's analytical engine"
Jss 1,Noel Term,5,Computer Studies,"Generations of Computers - First and Second",10-11,"Understanding the first generation (1940s-1950s) using vacuum tubes with characteristics like large size, high heat, and the second generation (1950s-1960s) using transistors which were smaller, faster, and more reliable"
Jss 1,Noel Term,8,Computer Studies,"Data Processing - Definition and Importance",10-11,"Understanding data processing as the collection and manipulation of data to produce meaningful information, learning why computers are excellent tools for processing data including speed, accuracy, storage capacity, and handling repetitive tasks"
Jss 1,Noel Term,9,Computer Studies,"Data Processing Cycle - Stages",10-11,"Learning the six stages of data processing: data gathering (collecting raw data), data collation (organizing data), input stage (entering data), processing stage (manipulating data), storage stage (saving data), and output stage (presenting results)"
Jss 1,Noel Term,10,Computer Studies,"Data Processing - Practical Applications",10-11,"Understanding practical applications of each stage of data processing, observing how computers achieve increased accuracy, efficient storage, fast information access, and handle repetitive tasks in real-world scenarios"
Jss 1,Calvary Term,2,Computer Studies,"Computer Room Management - Setup and Arrangement",10-11,"Understanding how to properly arrange computer laboratory including comfortable seating arrangement, orderly placement of computers and peripherals (keyboard, mouse, monitor), cable management, and creating a conducive learning environment"
Jss 1,Calvary Term,3,Computer Studies,"Computer Laboratory Rules and Regulations",10-11,"Learning and observing computer laboratory rules including no eating or drinking near computers, proper startup and shutdown procedures, seeking permission before use, reporting problems, and respecting equipment and other users"
Jss 1,Calvary Term,4,Computer Studies,"Computer Ethics and Responsible Use",10-11,"Understanding ethical behavior when using computers including respecting others' privacy, not accessing unauthorized files, avoiding harmful content, proper use of shared resources, and taking responsibility for actions in the computer lab"
Jss 1,Calvary Term,5,Computer Studies,"Applications of IT in Everyday Life - Communication",10-11,"Exploring how information technology is used for communication in daily life including mobile phones (GSM), email, instant messaging, video calls, social media, and how IT has transformed how people connect and share information"
Jss 1,Calvary Term,7,Computer Studies,"Applications of IT - Information Processing and Management",10-11,"Learning how IT is used for information processing and management in schools (student records), hospitals (patient records), banks (account management), businesses (inventory), and government (database systems)"
Jss 1,Calvary Term,8,Computer Studies,"IT and Society - Impact on Development",10-11,"Understanding how information technology has impacted societal development including improvements in education, healthcare, business, entertainment, transportation, and overall quality of life, both positive and negative effects"
Jss 1,Calvary Term,9,Computer Studies,"Information Transmission - Meaning and Ancient Methods",10-11,"Understanding information transmission as the process of sending and receiving information, learning ancient methods including oral communication, beating drums, fire lighting, town crying, whistling, drawing diagrams, and symbolic representations"
Jss 1,Calvary Term,10,Computer Studies,"Information Transmission - Modern Methods",10-11,"Learning modern methods of transmitting information including print media (newspapers, magazines), telephone, telex, radio, television, fax machines, satellite communication, internet, and mobile phones (GSM)"
Jss 1,Summer Term,1,Computer Studies,"Introduction to Computer Hardware",10-11,"Understanding computer hardware as the physical components of a computer system, identifying main hardware components including system unit, monitor, keyboard, mouse, printer, and scanner"
Jss 1,Summer Term,2,Computer Studies,"Input Devices",10-11,"Learning about input devices used to enter data into computers including keyboard (for typing), mouse (for pointing and clicking), scanner (for digitizing documents), microphone (for audio input), and webcam (for video input)"
Jss 1,Summer Term,3,Computer Studies,"Output Devices",10-11,"Understanding output devices that present processed information including monitor/screen (visual display), printer (paper output), speakers (audio output), and projector (large display), learning their functions and uses"
Jss 1,Summer Term,4,Computer Studies,"Storage Devices",10-11,"Learning about storage devices for saving data including hard disk drive (internal storage), flash drive/USB (portable storage), CD/DVD (optical storage), memory card, and understanding storage capacity concepts"
Jss 1,Summer Term,5,Computer Studies,"Introduction to Computer Software",10-11,"Understanding computer software as programs and instructions that tell hardware what to do, differentiating between system software (operating systems like Windows) and application software (programs like MS Word)"
Jss 1,Summer Term,6,Computer Studies,"Operating System Basics",10-11,"Learning about operating systems as software that manages computer hardware and software resources, common examples including Windows, macOS, Linux, understanding basic functions like file management and running programs"
Jss 1,Summer Term,7,Computer Studies,"Basic Computer Operations - Switching On and Off",10-11,"Learning proper procedures for switching on a computer (turning on power, booting up), logging in, and properly shutting down a computer system to avoid data loss and hardware damage"
Jss 1,Summer Term,8,Computer Studies,"Using Keyboard and Mouse",10-11,"Practical lessons on using keyboard for typing (letter keys, number keys, special keys like Enter, Shift, Backspace) and mouse operations (clicking, double-clicking, right-clicking, dragging, scrolling)"
Jss 1,Summer Term,9,Computer Studies,"File Management Basics",10-11,"Introduction to organizing files and folders on a computer including creating folders, saving files, renaming files, copying and moving files, deleting files, and understanding file organization for easy retrieval"
Jss 1,Summer Term,10,Computer Studies,"Computer Safety and Maintenance",10-11,"Learning basic computer care including protecting from dust and moisture, proper ventilation, surge protection, avoiding liquid spills, regular updates, virus protection, and understanding when to seek technical help"
