class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Basic Science,"Living Things - Habitat and Adaptations",11-12,"Introduction to different habitats (terrestrial, aquatic, arboreal) and how organisms adapt to survive in their specific environments through structural and behavioral features"
Jss 2,Noel Term,2,Basic Science,"Relationships Between Organisms in Habitats",11-12,"Study of ecological relationships including predator-prey, competition, symbiosis, and how organisms interact within their shared habitats"
Jss 2,Noel Term,3,Basic Science,"Uniqueness of Human Beings",11-12,"Exploration of human intelligence skills including reasoning, problem-solving, observation, measurement, and inference that distinguish humans from other living things"
Jss 2,Noel Term,4,Basic Science,"Growth and Development in Living Things",11-12,"Understanding indices of growth changes and developmental stages in humans from infancy through adolescence to adulthood, including temporary and permanent changes"
Jss 2,Noel Term,5,Basic Science,"Chemicals - Meaning and Classification",11-12,"Introduction to chemicals, their classification based on use (pharmaceutical, agrochemical, industrial) and hazardous nature (toxic, non-toxic)"
Jss 2,Noel Term,6,Basic Science,"Safety Measures in Chemical Use",11-12,"Learning proper handling, storage, and safety precautions when using chemicals including understanding safety signs and manufacturer instructions"
Jss 2,Noel Term,7,Basic Science,"Work, Energy and Power",11-12,"Understanding the concepts of work, energy, and power including the relationship between them and basic calculations using the formula Power = Work done / Time"
Jss 2,Noel Term,8,Basic Science,"Potential and Kinetic Energy",11-12,"Distinguishing between potential energy (stored energy) and kinetic energy (energy in motion) with practical examples and demonstrations"
Jss 2,Noel Term,9,Basic Science,"Energy Transfer and Work Done",11-12,"Exploring how energy is transferred when work is done and applying formulas to calculate work done in different scenarios"
Jss 2,Noel Term,10,Basic Science,"Kinetic Theory of Matter",11-12,"Understanding the assumptions of kinetic theory and using it to explain the molecular structure and behavior of solids, liquids, and gases"
Jss 2,Calvary Term,1,Basic Science,"Kinetic Theory - States of Matter",11-12,"Detailed explanation of how kinetic theory accounts for the properties and differences between solids, liquids, and gases based on molecular arrangement and movement"
Jss 2,Calvary Term,2,Basic Science,"Boiling and Evaporation",11-12,"Distinguishing between boiling and evaporation processes using kinetic theory and understanding the molecular changes during phase transitions"
Jss 2,Calvary Term,3,Basic Science,"Factors Affecting Evaporation",11-12,"Investigating factors that influence the rate of evaporation including temperature, surface area, humidity, and air movement"
Jss 2,Calvary Term,4,Basic Science,"Heat Flow and Transfer",11-12,"Understanding that heat flows from hot bodies to cold bodies when in contact and introduction to the three methods of heat transfer"
Jss 2,Calvary Term,5,Basic Science,"Heat Conduction",11-12,"Exploring heat transfer through conduction in solids, identifying good and poor conductors, and practical applications of conduction"
Jss 2,Calvary Term,6,Basic Science,"Heat Convection",11-12,"Understanding heat transfer through convection in fluids (liquids and gases), observing convection currents, and applications in daily life"
Jss 2,Calvary Term,7,Basic Science,"Heat Radiation",11-12,"Learning about heat transfer through radiation without a medium, understanding factors affecting radiation, and practical applications"
Jss 2,Calvary Term,8,Basic Science,"Crude Oil - Formation and Meaning",11-12,"Introduction to crude oil and petrochemicals, their formation, composition, and significance as natural resources"
Jss 2,Calvary Term,9,Basic Science,"Refining of Crude Oil",11-12,"Understanding the fractional distillation process used to refine crude oil into various useful products like petrol, kerosene, and diesel"
Jss 2,Calvary Term,10,Basic Science,"Uses and Importance of Crude Oil",11-12,"Exploring the various uses of petroleum products and the economic importance of crude oil to Nigeria and global development"
Jss 2,Summer Term,1,Basic Science,"Biodiversity in Different Habitats",11-12,"Exploring the variety of living organisms found in different habitats and the importance of biodiversity for ecosystem balance"
Jss 2,Summer Term,2,Basic Science,"Conservation of Habitats",11-12,"Understanding threats to habitats including pollution and deforestation, and methods of habitat conservation and environmental protection"
Jss 2,Summer Term,3,Basic Science,"Human Impact on Environment",11-12,"Examining how human activities affect the environment both positively and negatively, including pollution, urbanization, and conservation efforts"
Jss 2,Summer Term,4,Basic Science,"Measurement and Scientific Skills",11-12,"Practical application of measurement skills including length, mass, time, and temperature using appropriate instruments and units"
Jss 2,Summer Term,5,Basic Science,"Chemical Safety in the Laboratory",11-12,"Hands-on practice with laboratory safety rules, proper labeling and storage of chemicals, and emergency procedures"
Jss 2,Summer Term,6,Basic Science,"Energy Conservation",11-12,"Understanding the principle of conservation of energy, energy efficiency, and ways to reduce energy waste in daily activities"
Jss 2,Summer Term,7,Basic Science,"Sources of Energy",11-12,"Identifying renewable and non-renewable energy sources including solar, wind, fossil fuels, and their advantages and disadvantages"
Jss 2,Summer Term,8,Basic Science,"Heat and Temperature",11-12,"Distinguishing between heat and temperature, understanding thermometers and temperature scales (Celsius, Fahrenheit), and practical measurements"
Jss 2,Summer Term,9,Basic Science,"Applications of Heat Transfer",11-12,"Real-world applications of conduction, convection, and radiation in cooking, heating systems, insulation, and industrial processes"
Jss 2,Summer Term,10,Basic Science,"Petrochemicals and Modern Life",11-12,"Exploring the wide range of petrochemical products (plastics, cosmetics, medicines) and their impact on modern society and environment"
