class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Basic Technology,"First Aid - Meaning and Materials",11-12,"Introduction to first aid, understanding what it means to provide immediate care before professional medical help arrives, and identifying contents of a first aid box including bandages, cotton wool, antiseptics, plasters, scissors, and thermometer"
Jss 2,Noel Term,2,Basic Technology,"Application of Simple First Aid",11-12,"Practical lessons on applying basic first aid measures for minor injuries like cuts, bruises, burns, and sprains, learning proper techniques for cleaning wounds and applying bandages"
Jss 2,Noel Term,3,Basic Technology,"ABC of First Aid - Airways, Bleeding, Circulation",11-12,"Learning the fundamental ABC approach to first aid: ensuring clear Airways for breathing, controlling Bleeding and dealing with Breaks (fractures), and checking Circulation through pulse monitoring"
Jss 2,Noel Term,4,Basic Technology,"Application of ABC First Aid to Accident Victims",11-12,"Practical application of ABC first aid principles to help victims of common workshop accidents and road accidents, understanding priority actions and safety procedures when assisting injured persons"
Jss 2,Noel Term,5,Basic Technology,"Rescue Operations - Meaning and Aspects",11-12,"Understanding what rescue operations entail, learning about different aspects including securing the accident environment, protecting vehicles involved, and ensuring safety of victims before providing assistance"
Jss 2,Noel Term,6,Basic Technology,"Steps in Rescue Operations",11-12,"Learning the sequential steps involved in conducting effective rescue operations including scene assessment, calling for help, securing the area with caution signs, and safely extracting victims"
Jss 2,Noel Term,7,Basic Technology,"Materials and Their Common Uses - Wood",11-12,"Exploring common uses of wood materials in everyday life including furniture making, building construction, tool handles, and decorative items, understanding wood as a versatile natural material"
Jss 2,Noel Term,8,Basic Technology,"Materials and Their Uses - Metals and Alloys",11-12,"Understanding specific uses of ferrous metals (containing iron) and non-ferrous metals (brass, bronze, aluminum, copper) and their alloys in household utensils, vehicles, ships, decorations, and ammunition"
Jss 2,Noel Term,9,Basic Technology,"Materials and Their Uses - Ceramics, Glass, Rubber",11-12,"Exploring uses of ceramics in tiles and household utensils, glass in windows and containers, and rubber in tires, tubes, and footwear, understanding their unique properties and applications"
Jss 2,Noel Term,10,Basic Technology,"Materials and Their Uses - Plastics",11-12,"Learning about various plastic products like buckets, bottles, containers, and their widespread use in modern life, understanding advantages of plastics including durability, light weight, and water resistance"
