class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Cultural And Creative Arts,"Elements of Design",11-12,"Introduction to the basic components of design including line, colour, form, space, and texture, and how to apply them in creating visual compositions"
Jss 2,Noel Term,2,Cultural And Creative Arts,"Principles of Design",11-12,"Understanding design principles such as harmony, variety, balance, proportion, dominance, and rhythm, and their application in artwork"
Jss 2,Noel Term,3,Cultural And Creative Arts,"Materials, Tools and Equipment for Craft Making",11-12,"Learning about different materials (paper, fabric, clay, wood) and tools (scissors, pliers, throwing wheel) used in various craft productions"
Jss 2,Noel Term,4,Cultural And Creative Arts,"The Study of Colours",11-12,"Exploring colour theory including classification of colours (primary, secondary, tertiary), colour mixing, local colour sources, and creating a colour wheel"
Jss 2,Noel Term,5,Cultural And Creative Arts,"Colour Application in Crafts",11-12,"Practical application of colour mixing techniques and applying colours to various craft works using appropriate tools and materials"
Jss 2,Noel Term,6,Cultural And Creative Arts,"Painting Techniques",11-12,"Learning to paint objects from observation including still life, nature, landscape, and figures using tones, tints, shapes, and hues"
Jss 2,Noel Term,7,Cultural And Creative Arts,"Production of Patterns",11-12,"Understanding different types of patterns (simple repeat, half drop, mirror repeat, diamond repeat) and creating pattern designs"
Jss 2,Noel Term,8,Cultural And Creative Arts,"Bead Work and Jewellery Making",11-12,"Introduction to bead making using materials like roll paper, seeds, straw, and wood to create jewellery items such as necklaces and bangles"
Jss 2,Noel Term,9,Cultural And Creative Arts,"History and Origin of Music",11-12,"Exploring the origins of music from natural sounds and rhythms, and studying early forms of music from ancient civilizations like Baroque period"
Jss 2,Noel Term,10,Cultural And Creative Arts,"Musical Practices - Listening and Appreciation",11-12,"Developing aural skills through listening to various popular music genres (Highlife, Fuji, Juju, Gospel, R&B) and identifying African and Western musical styles"
Jss 2,Calvary Term,1,Cultural And Creative Arts,"Singing and Voice Training",11-12,"Learning to sing the Nigerian National Anthem, running scales, pitch identification, and voice training exercises for proper vocal control"
Jss 2,Calvary Term,2,Cultural And Creative Arts,"Design in the Theatre",11-12,"Understanding theatre design elements including set design, costumes, lighting, make-up, sound, and properties used in theatrical productions"
Jss 2,Calvary Term,3,Cultural And Creative Arts,"Rehearsal in Theatre",11-12,"Learning the stages and activities involved in theatrical rehearsals from script reading to blocking, polishing, and dress rehearsal"
Jss 2,Calvary Term,4,Cultural And Creative Arts,"Types of Dance",11-12,"Exploring different dance types including pure dance, dance drama, dramatic dance, and comic dance, and understanding their unique characteristics"
Jss 2,Calvary Term,5,Cultural And Creative Arts,"Dance as a Career",11-12,"Understanding career prospects in dance including working as a choreographer, dance educator, consultant, and opportunities in the entertainment industry"
Jss 2,Calvary Term,6,Cultural And Creative Arts,"Self Control and Character Development",11-12,"Learning the meaning of self control, ways to exercise moderation and modesty, benefits of self control, and practicing self-discipline"
Jss 2,Calvary Term,7,Cultural And Creative Arts,"Advanced Craft Production - Paper Craft",11-12,"Practical production of paper crafts using techniques like cutting, folding, and pasting to create decorative and functional items"
Jss 2,Calvary Term,8,Cultural And Creative Arts,"Fabric Decoration and Dyeing",11-12,"Introduction to fabric craft including tie-dye techniques, batik, and other fabric decoration methods using natural and synthetic dyes"
Jss 2,Calvary Term,9,Cultural And Creative Arts,"Moulding and Sculpture",11-12,"Learning to work with clay, plasticine, and paper mache to create three-dimensional moulded artworks and simple sculptures"
Jss 2,Calvary Term,10,Cultural And Creative Arts,"Introduction to Carving",11-12,"Basic wood carving techniques using appropriate tools like chisels, and creating simple carved designs and functional items"
Jss 2,Summer Term,1,Cultural And Creative Arts,"Weaving and Basketry",11-12,"Learning traditional weaving techniques using materials like palm fronds, raffia, and creating woven items such as baskets and mats"
Jss 2,Summer Term,2,Cultural And Creative Arts,"Musical Instruments and Classification",11-12,"Identifying and classifying musical instruments into families (string, wind, percussion) and understanding their use in different music styles"
Jss 2,Summer Term,3,Cultural And Creative Arts,"Theatre Performance and Production",11-12,"Practical application of theatre skills through class play production including acting, character development, and stage performance"
Jss 2,Summer Term,4,Cultural And Creative Arts,"Nigerian Traditional Dance Forms",11-12,"Exploring various Nigerian traditional dances, their cultural significance, costumes, and movements specific to different ethnic groups"
Jss 2,Summer Term,5,Cultural And Creative Arts,"Stage Makeup and Costume Design",11-12,"Learning basic stage makeup techniques and costume design principles for different character types in theatrical performances"
Jss 2,Summer Term,6,Cultural And Creative Arts,"Set Design and Props Making",11-12,"Creating simple stage sets and properties for theatrical productions using readily available and improvised materials"
Jss 2,Summer Term,7,Cultural And Creative Arts,"Song Composition and Performance",11-12,"Creating simple melodies on social themes, composing lyrics, and performing songs individually and in groups using tonic solfa"
Jss 2,Summer Term,8,Cultural And Creative Arts,"Nigerian Art and Cultural Heritage",11-12,"Studying traditional Nigerian art forms, cultural artifacts, and their significance in preserving cultural identity and heritage"
Jss 2,Summer Term,9,Cultural And Creative Arts,"Creative Painting Project",11-12,"Comprehensive painting project combining learned techniques to create original artwork on chosen themes using various painting methods"
Jss 2,Summer Term,10,Cultural And Creative Arts,"Portfolio Development and Exhibition",11-12,"Compiling student artworks and craft projects into a portfolio, and organizing a class exhibition to showcase creative achievements"
