class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,Computer Studies,"Computer Software - Types and Examples",11-12,"Understanding the definition of software and distinguishing between system software (operating systems) and application software (word processing, spreadsheet, graphics)"
Jss 2,Noel Term,2,Computer Studies,"Operating Systems",11-12,"Learning about operating systems including DOS, Windows, Linux, and Unix, and understanding their functions such as resource allocation, monitoring, and utilities"
Jss 2,Noel Term,3,Computer Studies,"Units of Storage in Computer",11-12,"Understanding computer storage units including nibble, byte, kilobyte, megabyte, and gigabyte, and learning to convert between different units"
Jss 2,Noel Term,4,Computer Studies,"Computer Programming Languages",11-12,"Introduction to computer programs and programming languages such as Logo and BASIC, understanding what makes a programming language"
Jss 2,Noel Term,6,Computer Studies,"Writing Simple BASIC Programs",11-12,"Practical experience in writing, running, and debugging simple BASIC programs using basic statements and commands"
Jss 2,Noel Term,7,Computer Studies,"Computer Ethics and Responsible Use",11-12,"Learning responsible ways of using computers and the internet including proper maintenance, avoiding liquid damage, using dust covers, and email etiquette"
Jss 2,Noel Term,8,Computer Studies,"Safety Measures When Using Computers",11-12,"Understanding safety precautions including proper sitting posture, anti-glare protectors, monitor positioning, room illumination, and maintaining dust-free environment"
Jss 2,Noel Term,10,Computer Studies,"Introduction to Graphic Packages",11-12,"Learning about graphic packages such as Paint, CorelDraw, and Instant Artist, and understanding their features like toolbar, menu bar, and color palette"
Jss 2,Calvary Term,1,Computer Studies,"Paint Environment and Tools",11-12,"Exploring the Paint program environment, identifying paint tools and their functions, and understanding the interface components"
Jss 2,Calvary Term,2,Computer Studies,"Drawing with Paint",11-12,"Practical lessons on using Paint tools to draw and color simple objects such as the Nigerian flag, shapes, and basic illustrations"
Jss 2,Calvary Term,3,Computer Studies,"Advanced Paint Techniques",11-12,"Learning advanced features of Paint including text insertion, image editing, special effects, and creating more complex drawings"
Jss 2,Calvary Term,4,Computer Studies,"Information Technology as a Transformational Tool",11-12,"Understanding what ICT stands for and identifying IT gadgets like computers, telephones (GSM), satellite communication, television, and internet"
Jss 2,Calvary Term,5,Computer Studies,"Benefits and Disadvantages of IT",11-12,"Exploring the advantages of information technology in daily life, education, and business, as well as understanding potential disadvantages and challenges"
Jss 2,Calvary Term,6,Computer Studies,"IT Gadgets - GSM, Fax, and Telephone",11-12,"Learning to differentiate between GSM, fax machines, and telephones, and practical experience in making calls, sending messages, and storing information"
Jss 2,Calvary Term,7,Computer Studies,"Using GSM Handsets",11-12,"Hands-on practice with GSM handsets including creating and sending messages, storing contacts, saving text messages, and managing phone features"
Jss 2,Calvary Term,8,Computer Studies,"Introduction to the Internet",11-12,"Understanding the internet as the largest computer network, learning about email addresses, worldwide web (www), and internet browsers like Internet Explorer and Mozilla"
Jss 2,Calvary Term,9,Computer Studies,"Creating and Using Email",11-12,"Practical lessons on creating email accounts, writing valid email addresses, opening emails, and understanding email etiquette and communication"
Jss 2,Calvary Term,10,Computer Studies,"Benefits and Abuses of the Internet",11-12,"Understanding internet benefits (information exchange, e-learning, e-entertainment) and abuses (fraud, pornography) with emphasis on safe internet practices"
Jss 2,Summer Term,1,Computer Studies,"Internet Environment and Icons",11-12,"Recognizing and naming icons in the internet environment, understanding their functions, and navigating web browsers effectively"
Jss 2,Summer Term,2,Computer Studies,"Sending and Receiving Emails",11-12,"Practical experience in composing emails, sending and receiving messages, managing inbox, and organizing email communications"
Jss 2,Summer Term,3,Computer Studies,"Internet Chat and Communication",11-12,"Learning to use internet chat features for real-time communication, understanding chat etiquette, and safe online interaction practices"
Jss 2,Summer Term,4,Computer Studies,"Educational Network Groups",11-12,"Linking up with educational network groups such as SchoolNet and e-school, exploring educational websites, and accessing online learning resources"
Jss 2,Summer Term,5,Computer Studies,"Web Browsing and Navigation",11-12,"Learning to navigate websites, use search engines effectively, understand website addresses (URLs), and access specific web pages"
Jss 2,Summer Term,6,Computer Studies,"Computer Maintenance and Care",11-12,"Understanding proper computer maintenance including cleaning, protecting from power problems, using surge protectors, and unplugging when not in use"
Jss 2,Summer Term,7,Computer Studies,"File Management and Organization",11-12,"Learning to create, save, organize, and retrieve files and folders on a computer system, understanding file naming conventions and directory structure"
Jss 2,Summer Term,8,Computer Studies,"Introduction to Other Graphic Software",11-12,"Exploring other graphic packages beyond Paint such as CorelDraw and Instant Artist, comparing features and capabilities of different graphic software"
Jss 2,Summer Term,9,Computer Studies,"Practical Graphics Project",11-12,"Students create a complete graphics project using learned skills, incorporating drawing, coloring, text, and design elements to produce original artwork"
Jss 2,Summer Term,10,Computer Studies,"IT in Modern Society",11-12,"Exploring the role of information technology in various sectors including education, healthcare, banking, entertainment, and communication in modern Nigerian society"
