class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Information Technology,"Computer Career Opportunities",12-13,"Understanding various computer professions: computer manager, system analyst, programmers, educators, engineers, technicians, operators"
Jss 3,Noel Term,2,Information Technology,"Functions of Computer Professionals",12-13,"Learning specific roles and responsibilities of different computer professionals in organizations and industries"
Jss 3,Noel Term,3,Information Technology,"Qualities of Good Computer Professionals",12-13,"Identifying essential qualities needed for success in computer professions: skills, ethics, communication, problem-solving"
Jss 3,Noel Term,4,Information Technology,"Computer Professional Bodies in Nigeria",12-13,"Understanding professional organizations: NCS, IMIS, CPRN, ITAN, NIG and their roles in regulating computer profession"
Jss 3,Noel Term,5,Information Technology,"Computer Viruses: Meaning and Types",12-13,"Understanding what computer viruses are and types: boot sector virus, executable file virus, document attack viruses"
Jss 3,Noel Term,6,Information Technology,"Examples and Sources of Computer Viruses",12-13,"Learning about specific viruses (Trojan horse, Logic bomb, Alabama virus) and sources: infected diskettes, CDs, emails, downloads"
Jss 3,Noel Term,7,Information Technology,"Virus Warning Signs",12-13,"Identifying symptoms of virus infection: slow response time, tiny dots on screen, incomplete file saving, strange characters"
Jss 3,Noel Term,8,Information Technology,"Virus Detection and Anti-Virus Software",12-13,"Understanding anti-virus programs: Norton Anti-virus, McAfee Virus Scan, Dr. Solomon's Toolkit; running virus scans"
Jss 3,Noel Term,9,Information Technology,"Internet Search Engines",12-13,"Identifying and using search engines: Google, Yahoo, Ask, Mama for finding information on the internet"
Jss 3,Noel Term,10,Information Technology,"Using Search Engines for Research",12-13,"Practical use of search engines to obtain information; downloading materials from internet to diskettes and flash drives"
Jss 3,Calvary Term,1,Information Technology,"Digital Divide: Concept and Meaning",12-13,"Understanding digital divide as the gap between those who have access to technology and those who don't"
Jss 3,Calvary Term,2,Information Technology,"Old Economy vs New Economy",12-13,"Comparing features of old economy (time-consuming, labor-based, mechanical) and new economy (digital, technology-driven, knowledge-based)"
Jss 3,Calvary Term,3,Information Technology,"Limitations of Old Economy",12-13,"Understanding disadvantages of traditional economy: constrained by space, time, distance, high labor costs"
Jss 3,Calvary Term,4,Information Technology,"Benefits of New Digital Economy",12-13,"Learning advantages: low capital to start business, creates new jobs, global reach, time and space irrelevance"
Jss 3,Calvary Term,5,Information Technology,"Database Terminologies",12-13,"Understanding basic database terms: fields, records, files, database, keys and their relationships"
Jss 3,Calvary Term,6,Information Technology,"Forms of Database",12-13,"Learning different database structures: flat file, hierarchical, relational databases and their characteristics"
Jss 3,Calvary Term,7,Information Technology,"Starting and Managing Databases",12-13,"Practical skills in opening existing databases, inputting data, storing and retrieving information from database applications"
Jss 3,Calvary Term,8,Information Technology,"Introduction to Spreadsheet Packages",12-13,"Learning spreadsheet applications: Excel, Lotus 1-2-3, StatView; understanding their uses in sales, budgets, exam results"
Jss 3,Calvary Term,9,Information Technology,"Spreadsheet Features and Terminologies",12-13,"Understanding spreadsheet components: rows, columns, cells, worksheets, charts, data ranges; loading and exiting programs"
Jss 3,Calvary Term,10,Information Technology,"Working with Worksheets",12-13,"Starting worksheets, entering data, editing, saving, retrieving, and formatting text, cells, rows and columns"
Jss 3,Summer Term,1,Information Technology,"Calculations in Spreadsheets",12-13,"Performing mathematical operations in worksheets: addition, subtraction, multiplication, division, average, counting using formulas"
Jss 3,Summer Term,2,Information Technology,"Formatting Worksheets",12-13,"Learning to format text, cells, columns, rows; naming cells and ranges; applying styles and number formats"
Jss 3,Summer Term,3,Information Technology,"Printing Worksheets",12-13,"Understanding print settings, page setup, print preview, and printing data from worksheets to paper"
Jss 3,Summer Term,4,Information Technology,"Creating Graphs and Charts: Line Graphs",12-13,"Constructing line graphs from worksheet data; identifying data range and axis for graph creation"
Jss 3,Summer Term,5,Information Technology,"Creating Histograms and Bar Charts",12-13,"Learning to create histograms and bar charts from spreadsheet data; selecting appropriate chart types"
Jss 3,Summer Term,6,Information Technology,"Creating Pie Charts and Legends",12-13,"Constructing pie charts to represent data proportions; adding and formatting legends for clarity"
Jss 3,Summer Term,7,Information Technology,"Editing and Formatting Graphs",12-13,"Modifying graphs and charts: changing colors, titles, labels, scales; improving visual presentation of data"
Jss 3,Summer Term,8,Information Technology,"Practical Projects: HIV/AIDS Data Analysis",12-13,"Using spreadsheets and graphs to analyze HIV/AIDS prevalence data; creating charts to visualize health statistics"
Jss 3,Summer Term,9,Information Technology,"Practical Projects: Voter Education Handbook",12-13,"Downloading and organizing voter education information using internet and database skills learned"
Jss 3,Summer Term,10,Information Technology,"Integration of IT Skills",12-13,"Combining database, spreadsheet, internet, and graphing skills for comprehensive data management and presentation projects"
