class,term,week,subject,topic,agegroup
Year 1,Calvary Term,1,Numeracy,"2 dimensional and 3D shapes: Identification of 2D and 3D shapes (e.g cylinder, square, circle, triangle, rectangle, sphere, cone) and drawing of 2D and 3D shapes",5-6
Year 1,Calvary Term,2,Numeracy,"Money: What is money? Currencies of different countries, recognition of Nigerian currency",5-6
Year 1,Calvary Term,3,Numeracy,"Money: Changing units of money ( i.e two 100k=#1, two 5k pieces = 10k e.t.c), the concept of change",5-6
Year 1,Calvary Term,4,Numeracy,"Time: Introduction of time using clock showing the hands of clock ( hours, minutes & seconds), reading clock to the hour & half an hour",5-6
Year 1,Calvary Term,5,Numeracy,"Time: Drawing clock, indicating on drawn clocks given time, days of the week",5-6
Year 1,Calvary Term,6,Numeracy,"Capacity: Amount in liquids ( meaning of capacity, identify objects used for measuring capacity, naming objects used for measuring capacity",5-6
Year 1,Calvary Term,7,Numeracy,Capacity: Ordering of containers base on their capacities,5-6
Year 1,Calvary Term,8,Numeracy,"Weight: Meaning, introducing the idea of weight ( e.g heavy or light), unit of weight ( e.g kilograms & grams)",5-6
Year 1,Calvary Term,9,Numeracy,"Weight: Measurements of weight, ordering of weight",5-6
Year 2,Calvary Term,1,Numeracy,"Writing in words up to 20,000",6-7
Year 2,Calvary Term,2,Numeracy,"Multiplication: multiplication table from 2-6, multiplication of 2-digits numbers by one (1) digit number without and with carrying ( including word problems)",6-7
Year 2,Calvary Term,3,Numeracy,"Division as a basic operation of arithmetic: understanding the meaning of division, application of division",6-7
Year 2,Calvary Term,4,Numeracy,Factors and multiples of numbers,6-7
Year 2,Calvary Term,5,Numeracy,Money: changing money not exceeding #100 from naira to Kobo - Shopping involving addition and subtraction with money not greater than #100 - Multiplication involving money with products not exceeding #100 - Concept of change or balance after buying and selling,6-7
Year 2,Calvary Term,6,Numeracy,Measurements ( length and width) - Estimation of length and width ( in centimeters (cm) and meters (m) - Simple word problems involving measurements,6-7
Year 2,Calvary Term,7,Numeracy,Fraction,6-7
Year 2,Calvary Term,8,Numeracy,Division: finding the missing factors in a given numbers,6-7
Year 2,Calvary Term,9,Numeracy,"Data presentation: meaning of data presentation, pictogram, meaning of pictogram interpret and construct pictogram",6-7
Year 3,Calvary Term,1,Numeracy,"Multiplication: multiplication of whole numbers by 2 digits numbers not exceeding 50, multiplication of decimal by 2 digit numbers, multiplication of decimal by decimal",7-8
Year 3,Calvary Term,2,Numeracy,Estimation: rounding off decimals to the nearest whole number - Estimation of sums (e.g 7.8 and 8.9) - Estimation of products (e.g 2.1 and 3.8),7-8
Year 3,Calvary Term,3,Numeracy,Open sentence: open sentence in addition ( e.g 12+?= 36) - Open sentence in subtraction ( e.g ?-6= 13) - Open sentences in multiplication (6 × ? =30) - Open sentence in division(?÷8 = 3),7-8
Year 3,Calvary Term,4,Numeracy,"Money: addition of money (#7.50+6.60), - Subtraction of money (#27.50-#19.60) - Word problem on addition & subtraction of money",7-8
Year 3,Calvary Term,5,Numeracy,Money: multiplication of money by a whole number - Division of money by a whole number - Word problems on multiplication and division of money by a whole number - Calculation of profit ( profit = selling price i.e price i.e SP -- CP),7-8
Year 3,Calvary Term,6,Numeracy,"Weight: addition and subtraction of weight in kilograms and grams, multiplication and division of weight in kg and g by whole numbers",7-8
Year 3,Calvary Term,7,Numeracy,"Time: telling the time on the clock as shown on the clock chart or clock, changing from minutes to seconds, hours to minutes and vice versa, the calendar and date",7-8
Year 3,Calvary Term,8,Numeracy,"Time: concept of AM and PM to indicate time of the day, solve more problems on the use of 'am' and 'pm'",7-8
Year 3,Calvary Term,9,Numeracy,"Calendar formation: reading a calendar, building a calendar",7-8
Year 4,Calvary Term,1,Numeracy,"Money: identifying various currencies used in Nigeria and other countries, conversion from one currencies to another, profit and loss simple interest, commission, discount and transaction in offices, banks and markets",8-9
Year 4,Calvary Term,2,Numeracy,"Perimeter: meaning of perimeter and identification of shapes around the classroom, finding perimeter of shapes using formulary measurements of objects around the class, finding the perimeter of irregular objects",8-9
Year 4,Calvary Term,3,Numeracy,"Circle: properties of a circle, calculate the circumference of a circle ( with given radius, with given diameter), find the relationship between circumference and πd",8-9
Year 4,Calvary Term,4,Numeracy,"Weight: introduction to the idea of weight, presentation of weight scale ( g & kg ) changing g to kg, word problems involving kg and g",8-9
Year 4,Calvary Term,5,Numeracy,"Time: definition of average, speed, use formulary for speed in calculating and recording in km/hr, solving problems on average speed, word problem on average speed",8-9
Year 4,Calvary Term,6,Numeracy,"Temperature: meaning of temperature and types of thermometer, reading of temperature using thermometer, identifying the degrees of hotness, various objects and area (locations) in degree Celsius, word problem in temperature Area: calculation of areas of rectangles and squares by multiplying length and breadth, construction of a right -- angle triangle by dividing the rectangles into two halves along the diagonal to form the equal right -- angle , calculating are of right angle triangle( ½ × b × h)",8-9
Year 4,Calvary Term,7,Numeracy,Capacity: presentation of an open cube of dimensions 10cm × 10 cm ×10 cm and containers that can control liquid - Find the relationship between litres and cubic centimeters (cm³) - Company two containers to know the capacity - Identify the use of litre as a unit of capacity and established relationship between litre and cm³,8-9
Year 4,Calvary Term,8,Numeracy,"Capacity: identifying types of containers that holds water, identify numbers of litres that a container can hold, revise the relationship between litres and cm³, word problem on capacity",8-9
Year 5,Calvary Term,1,Numeracy,"Order of operations (BODMAS): understanding BODMAS as a way ordering mathematical operations, solving problems using BODMAS",9-10
