class,term,week,subject,topic,agegroup
Year 1,1st Term,1,Numeracy,"Whole numbers 1-1000: identification, reading, and writing",5-6
Year 1,1st Term,2,Numeracy,Writing of 1-1000 in words,5-6
Year 1,1st Term,3,Numeracy,"Ordering of numbers using greater than(>), less than (<), and equals to (=)",5-6
Year 1,1st Term,4,Numeracy,"Place value up to 100 (H, T, U)",5-6
Year 1,1st Term,5,Numeracy,Addition of three digit numbers (without remaining),5-6
Year 1,1st Term,6,Numeracy,Subtraction of three digit numbers (without remaining),5-6
Year 1,1st Term,7,Numeracy,Multiplication of numbers,5-6
Year 1,1st Term,8,Numeracy,Division of numbers,5-6
Year 1,1st Term,9,Numeracy,Open sentences,5-6
Year 2,1st Term,1,Numeracy,"Whole numbers 1-100 (counting, writing and ordering)",6-7
Year 2,1st Term,2,Numeracy,"Writing 1-10,000 in words",6-7
Year 2,1st Term,3,Numeracy,"Place value (TH, H, T, U)",6-7
Year 2,1st Term,4,Numeracy,Addition of three digit numbers,6-7
Year 2,1st Term,5,Numeracy,Subtraction of three digit numbers,6-7
Year 2,1st Term,6,Numeracy,"Inequalities (<, >, =)",6-7
Year 2,1st Term,7,Numeracy,Fraction,6-7
Year 2,1st Term,8,Numeracy,Multiplication of numbers,6-7
Year 2,1st Term,9,Numeracy,Open sentences,6-7
Year 3,1st Term,1,Numeracy,"Whole numbers 1-100,000:( counting, ordering and writing in words)",7-8
Year 3,1st Term,2,Numeracy,Place value,7-8
Year 3,1st Term,3,Numeracy,Roman Numerals,7-8
Year 3,1st Term,4,Numeracy,Addition of 3-4 digit numbers (with and without remaining),7-8
Year 3,1st Term,5,Numeracy,Subtraction of 3-4 digit numbers (with and without remaining),7-8
Year 3,1st Term,6,Numeracy,Multiplication of 2 and 3 digit numbers by 1and 2 digit numbers,7-8
Year 3,1st Term,7,Numeracy,"Factors and multiples (LCM, HCF)",7-8
Year 3,1st Term,8,Numeracy,Fraction,7-8
Year 3,1st Term,9,Numeracy,Decimal fraction (Decimals),7-8
Year 4,1st Term,1,Numeracy,"Whole numbers 1-100,000,000 (counting, ordering and writing in words)",8-9
Year 4,1st Term,2,Numeracy,Place value,8-9
Year 4,1st Term,3,Numeracy,Roman numerals up to 5000,8-9
Year 4,1st Term,4,Numeracy,Addition and subtraction of numbers up to 5 digits,8-9
Year 4,1st Term,5,Numeracy,Fraction,8-9
Year 4,1st Term,6,Numeracy,Multiplication of numbers up to 5 digits (including word problem),8-9
Year 4,1st Term,7,Numeracy,Division of numbers up to 5 digits (including word problem),8-9
Year 4,1st Term,8,Numeracy,Number line,8-9
Year 4,1st Term,9,Numeracy,Open sentences (introduction to algebra),8-9
Year 5,1st Term,1,Numeracy,"Notation and place value up to 1,000,000,000",9-10
Year 5,1st Term,2,Numeracy,"Factors, prime numbers and multiples",9-10
Year 5,1st Term,3,Numeracy,Ratio and proportion,9-10
Year 5,1st Term,4,Numeracy,Fraction and decimal,9-10
Year 5,1st Term,5,Numeracy,Percentage,9-10
Year 5,1st Term,6,Numeracy,HiDemography,9-10
Year 5,1st Term,7,Numeracy,Approximation and estimation,9-10
Year 5,1st Term,8,Numeracy,Multiplication and division of whole numbers (including word problem),9-10
Year 5,1st Term,9,Numeracy,Squares and square roots of numbers,9-10
Year 1,1st Term,1,Literacy,Rainbow capitals: capital letters,5-6
Year 1,1st Term,2,Literacy,Sentences making and stinking,5-6
Year 1,1st Term,3,Literacy,Alphabetical orders,5-6
Year 1,1st Term,4,Literacy,Singular and plural,5-6
Year 1,1st Term,5,Literacy,"Nouns: meaning, types and examples",5-6
Year 1,1st Term,6,Literacy,Proper nouns and common nouns,5-6
Year 1,1st Term,7,Literacy,Countable and uncountable nouns,5-6
Year 1,1st Term,8,Literacy,Pronoun,5-6
Year 1,1st Term,9,Literacy,"Article ""A"" ""An""",5-6
Year 2,1st Term,1,Literacy,Alphabetical order,6-7
Year 2,1st Term,2,Literacy,Consonant and consonant clusters,6-7
Year 2,1st Term,3,Literacy,"Noun: meaning, examples and types",6-7
Year 2,1st Term,4,Literacy,"Adjective: meaning, examples and types",6-7
Year 2,1st Term,5,Literacy,"Verb: meaning, examples and types",6-7
Year 2,1st Term,6,Literacy,"Adverb: meaning, examples and types",6-7
Year 2,1st Term,7,Literacy,Punctuation marks: meaning and types,6-7
Year 2,1st Term,8,Literacy,"Punctuation using full stop, comma and question marks in sentences",6-7
Year 2,1st Term,9,Literacy,Plural: use of regular and irregular plural,6-7
Year 3,1st Term,1,Literacy,Speech marks: ( Quotation marks),7-8
Year 3,1st Term,2,Literacy,Preposition,7-8
Year 3,1st Term,3,Literacy,Conjunction and interjection,7-8
Year 3,1st Term,4,Literacy,"Question tags: meaning, formation of question tags and examples",7-8
Year 3,1st Term,5,Literacy,Phrase: meaning and examples,7-8
Year 3,1st Term,6,Literacy,Clause: meaning and examples,7-8
Year 3,1st Term,7,Literacy,"Sentences: meaning, types and formation of sentences",7-8
Year 3,1st Term,8,Literacy,Idiomatic expressions,7-8
Year 3,1st Term,9,Literacy,"Future action: using ""shall"" and ""will""",7-8
Year 4,1st Term,1,Literacy,Relative pronouns: WH questions,8-9
Year 4,1st Term,2,Literacy,"Adjectives: meaning, types and examples",8-9
Year 4,1st Term,3,Literacy,"Adverb: meaning, types and examples",8-9
Year 4,1st Term,4,Literacy,Intonation and stress pattern,8-9
Year 4,1st Term,5,Literacy,Active and passive sentences,8-9
Year 4,1st Term,6,Literacy,Concord: subject / verb agreement,8-9
Year 4,1st Term,7,Literacy,"Verb tenses: present, past, and future tense",8-9
Year 4,1st Term,8,Literacy,"Modal verb: use of ""can, will, shall"" etc",8-9
Year 4,1st Term,9,Literacy,Showing necessity and obligation,8-9
Year 5,1st Term,1,Literacy,Dashes and bracket: meaning and uses,9-10
Year 5,1st Term,2,Literacy,Active and passive voice,9-10
Year 5,1st Term,3,Literacy,Direct and indirect speech,9-10
Year 5,1st Term,4,Literacy,Articles: uses of articles,9-10
Year 5,1st Term,5,Literacy,Colon's and semi colon,9-10
Year 5,1st Term,6,Literacy,Adverb: comparison,9-10
Year 5,1st Term,7,Literacy,Preposition,9-10
Year 5,1st Term,8,Literacy,Stress and intonation,9-10
Year 5,1st Term,9,Literacy,Dialogue,9-10
Year 1,1st Term,1,Creative Writing,My summer holiday,5-6
Year 1,1st Term,2,Creative Writing,Number poems,5-6
Year 1,1st Term,3,Creative Writing,A patterned story -- My self,5-6
Year 1,1st Term,4,Creative Writing,Giving Instructions -- How to fry eggs,5-6
Year 1,1st Term,5,Creative Writing,My best friend,5-6
Year 1,1st Term,6,Creative Writing,My teacher,5-6
Year 1,1st Term,7,Creative Writing,A day in the beach,5-6
Year 1,1st Term,8,Creative Writing,My favorite food,5-6
Year 1,1st Term,9,Creative Writing,All about lies,5-6
Year 2,1st Term,1,Creative Writing,My summer holiday,6-7
Year 2,1st Term,2,Creative Writing,Writing your own poem -- My neighbor,6-7
Year 2,1st Term,3,Creative Writing,My school,6-7
Year 2,1st Term,4,Creative Writing,A picnic at the beach,6-7
Year 2,1st Term,5,Creative Writing,Giving Instructions -- How to brush your teeth,6-7
Year 2,1st Term,6,Creative Writing,My grandparents,6-7
Year 2,1st Term,7,Creative Writing,How plants grow,6-7
Year 2,1st Term,8,Creative Writing,How can I be a better friend,6-7
Year 2,1st Term,9,Creative Writing,My family,6-7
Year 3,1st Term,1,Creative Writing,Varied ending of stories -- My summer holiday,7-8
Year 3,1st Term,2,Creative Writing,Completing stories: The sand castle as a play,7-8
Year 3,1st Term,3,Creative Writing,Shape poem,7-8
Year 3,1st Term,4,Creative Writing,Picture description and labelling,7-8
Year 3,1st Term,5,Creative Writing,Writing reports,7-8
Year 3,1st Term,6,Creative Writing,My favorite superhero,7-8
Year 3,1st Term,7,Creative Writing,A day in the desert,7-8
Year 3,1st Term,8,Creative Writing,Loosing my teeth,7-8
Year 3,1st Term,9,Creative Writing,What I know about dinosaurs,7-8
Year 4,1st Term,1,Creative Writing,An interview on the COVID-19 break,8-9
Year 4,1st Term,2,Creative Writing,Ending a story strange happening at night,8-9
Year 4,1st Term,3,Creative Writing,A most interesting experience,8-9
Year 4,1st Term,4,Creative Writing,A prayer poem,8-9
Year 4,1st Term,5,Creative Writing,Giving Instructions -- How to bake a cake,8-9
Year 4,1st Term,6,Creative Writing,The surprise birthday party,8-9
Year 4,1st Term,7,Creative Writing,My secret dream,8-9
Year 4,1st Term,8,Creative Writing,A visit to the orphanage,8-9
Year 4,1st Term,9,Creative Writing,My favorite season,8-9
Year 5,1st Term,1,Creative Writing,My summer holiday,9-10
Year 5,1st Term,2,Creative Writing,"Beginning, middle and end of a story -- The secondary school of my choice",9-10
