class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Business Studies,"Introduction to Business Studies",10-11,"Understanding Business Studies as a subject that combines office practice, commerce, book-keeping, and keyboarding, learning its importance and various career opportunities in business fields like accounting, secretarial work, and entrepreneurship"
Jss 1,Noel Term,2,Business Studies,"The Office - Meaning and Types",10-11,"Defining an office as a place where administrative and clerical work is done, differentiating between small offices (few workers, simple operations) and large offices (many workers, complex operations with departments)"
Jss 1,Noel Term,3,Business Studies,"Functions of an Office",10-11,"Learning the main functions of an office including receiving and sending information, keeping records, processing documents, coordinating activities, and providing administrative support to an organization"
Jss 1,Noel Term,4,Business Studies,"Office Staff - Clerical Workers",10-11,"Understanding who clerical staff are (workers who perform office tasks like typing, filing, record-keeping), their functions, required qualities (accuracy, honesty, confidentiality), and importance of keeping office information confidential"
Jss 1,Noel Term,5,Business Studies,"Right Attitude to Work - Punctuality and Regularity",10-11,"Learning the meaning of punctuality (arriving on time) and regularity (consistent attendance), understanding attributes like commitment, promptness, consistency, and how these lead to rewards while absence leads to sanctions"
Jss 1,Noel Term,6,Business Studies,"Devotion to Duty",10-11,"Understanding devotion to duty as dedication and commitment to one's work responsibilities, learning how it affects productivity, development, and overall performance in school, work, and personal life"
Jss 1,Noel Term,7,Business Studies,"Departments in an Organization",10-11,"Identifying various departments in organizations including Administrative (general management), Purchasing (buying), Accounting (finances), Sales (selling), Personnel (human resources), Planning, and Transport departments, and their specific functions"
Jss 1,Noel Term,8,Business Studies,"Introduction to Commerce",10-11,"Understanding commerce as trade (buying and selling) plus aids to trade (activities that help trade happen), learning the importance of commerce and various commercial activities like banking, insurance, transport, and communication"
Jss 1,Noel Term,9,Business Studies,"Divisions of Commerce - Trade",10-11,"Learning that commerce is divided into trade and aids to trade, understanding home trade (within a country) subdivided into wholesale and retail, and foreign trade (between countries) including import and export"
Jss 1,Noel Term,10,Business Studies,"Production - Meaning and Types",10-11,"Understanding production as making goods or providing services, learning types: extractive industry (mining, farming), manufacturing industry (processing raw materials), construction industry (building), commerce (trade), and services"
Jss 1,Calvary Term,1,Business Studies,"Effects of Production on Environment and Society",10-11,"Understanding how production activities can affect the environment through pollution (air, water, noise), deforestation, and waste, and learning about responsible production practices to minimize negative environmental impact"
Jss 1,Calvary Term,2,Business Studies,"Factors of Production",10-11,"Learning the four factors needed for production: Land (natural resources), Labour (human effort), Capital (money and equipment), and Entrepreneur (organizer who takes risks), understanding their features and importance in business"
Jss 1,Calvary Term,3,Business Studies,"Types of Occupation",10-11,"Understanding occupation as work people do to earn a living, learning divisions: primary (farming, mining), industrial (manufacturing), commercial (trading), and services (teaching, healthcare), and factors affecting occupation choice"
Jss 1,Calvary Term,4,Business Studies,"Direct and Indirect Services",10-11,"Differentiating between direct services (personally given to individuals like hairdressing, teaching, medical care) and indirect services (benefit everyone like security, road maintenance, street lighting) with examples of each"
Jss 1,Calvary Term,5,Business Studies,"Honesty in Business - Truthfulness",10-11,"Understanding truthfulness as always telling the truth and being honest, learning attributes of truthfulness, factors that cause people to lie, rewards for being truthful, and consequences of dishonesty in business and life"
Jss 1,Calvary Term,6,Business Studies,"Honesty in Business - Fair Play",10-11,"Learning fair play as treating others justly and following rules, understanding attributes of fair play including honesty, respect, equality, and practicing fairness in business dealings, sports, and daily interactions"
Jss 1,Calvary Term,7,Business Studies,"Ethics in Sourcing Chemicals",10-11,"Understanding business ethics as moral principles guiding business conduct, learning proper ethics for sourcing chemicals including buying from licensed vendors, good handling techniques, proper distribution, and safe disposal to protect health and environment"
Jss 1,Calvary Term,8,Business Studies,"Entrepreneurship - Meaning and Examples",10-11,"Understanding entrepreneurship as starting and running one's own business, enterprise as a business venture, and self-employment as working for oneself, identifying successful entrepreneurs locally, in Nigeria, and internationally"
Jss 1,Calvary Term,9,Business Studies,"Importance of Entrepreneurship",10-11,"Learning why entrepreneurship is important including creating jobs, reducing unemployment, encouraging innovation, generating income, contributing to economic development, and providing independence and self-reliance"
Jss 1,Calvary Term,10,Business Studies,"Forms of Business Organization",10-11,"Understanding different types of business ownership: sole proprietorship (one owner), partnership (2-20 owners), limited liability companies (shareholders), and cooperative societies (members working together), with advantages and disadvantages of each"
Jss 1,Summer Term,1,Business Studies,"Consumer, Market and Society",10-11,"Defining consumer as anyone who buys and uses goods/services, market as where buyers and sellers meet, society as group of people living together, understanding the need for consumer education to make informed buying decisions"
Jss 1,Summer Term,2,Business Studies,"Importance and Consequences of Consumer Education",10-11,"Learning the importance of educating consumers about their rights, product quality, fair prices, and safe consumption, understanding negative consequences of lack of consumer education including exploitation, fraud, and harmful purchases"
Jss 1,Summer Term,3,Business Studies,"Need for Monitoring and Control of Chemicals",10-11,"Understanding the difference between chemicals suitable for use (safe, approved) and not suitable (dangerous, expired), learning why monitoring food, drugs, and chemicals is necessary to protect public health and safety"
Jss 1,Summer Term,4,Business Studies,"Introduction to Book-keeping",10-11,"Understanding book-keeping as systematic recording of business financial transactions, learning its importance (tracking income/expenses, making decisions, preventing fraud), qualities of book-keepers (accuracy, honesty, neatness), and common practices"
Jss 1,Summer Term,5,Business Studies,"Source Documents in Book-keeping",10-11,"Learning about source documents as original records of transactions including invoices (sales and purchase), receipts, cash register tapes, credit notes, debit notes, and cheques, understanding their uses and how to complete them"
Jss 1,Summer Term,6,Business Studies,"Journals - Books of Original Entry",10-11,"Understanding journals as books where transactions are first recorded from source documents, learning the correct form/format of a journal, different types of journals (sales, purchases, cash, general), and how to make journal entries"
Jss 1,Summer Term,7,Business Studies,"Double Entry Book-keeping System",10-11,"Learning the double entry principle where every transaction has two effects (debit and credit), understanding that for every debit entry there must be a corresponding credit entry, identifying which accounts to debit and credit"
Jss 1,Summer Term,8,Business Studies,"Ledgers and Classification of Accounts",10-11,"Understanding ledgers as books containing individual accounts, learning to post from journals to ledgers, and classifying accounts into real (assets), nominal (expenses/income), personal (people/businesses), and impersonal accounts"
Jss 1,Summer Term,9,Business Studies,"Introduction to Keyboarding",10-11,"Understanding keyboarding as the skill of using a keyboard (typewriter or computer) to input text, learning its importance for personal and business use, and practicing correct sitting posture for keyboarding (straight back, feet flat, arms relaxed)"
Jss 1,Summer Term,10,Business Studies,"Parts of Computer Keyboard and Basic Care",10-11,"Identifying parts of a computer keyboard (alphanumeric keys, function keys, navigation keys, numeric keypad), learning similarities between typewriter and computer keyboard, and understanding how to care for computers using dust covers, cleaning, and proper handling"
