class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Christian Religious Studies,"The Creation Story: Days 1-3",10-11,"Biblical account of creation from Genesis 1; understanding how God created light, sky, land, seas, and vegetation in first three days"
Jss 1,Noel Term,2,Christian Religious Studies,"The Creation Story: Days 4-6",10-11,"Continuation of creation narrative; God creating sun, moon, stars, sea creatures, birds, land animals, and human beings"
Jss 1,Noel Term,3,Christian Religious Studies,"Purpose of Human Creation",10-11,"Understanding why God made human beings: to know Him, worship Him, and serve Him; humans as crown of God's creation"
Jss 1,Noel Term,4,Christian Religious Studies,"Creation of Adam and Eve",10-11,"Special account of how God formed Adam from dust and created Eve from Adam's rib (Genesis 2:7-25)"
Jss 1,Noel Term,5,Christian Religious Studies,"Marriage: Meaning and Purpose",10-11,"Understanding marriage as God's institution from Genesis 2:22-25; functions include companionship, procreation, responsibility"
Jss 1,Noel Term,6,Christian Religious Studies,"Types and Importance of Marriage",10-11,"Learning different types of marriage; importance of marriage in preventing STDs, HIV/AIDS through faithfulness"
Jss 1,Noel Term,7,Christian Religious Studies,"The First Human Disobedience",10-11,"Biblical account of Adam and Eve's sin in the Garden of Eden; the serpent's temptation and eating forbidden fruit (Genesis 3:1-19)"
Jss 1,Noel Term,8,Christian Religious Studies,"Consequences of Adam and Eve's Disobedience",10-11,"Understanding punishments: pain in childbirth, hard labor for food, death, broken relationship with God (Genesis 3:14-19)"
Jss 1,Noel Term,9,Christian Religious Studies,"Our Own Acts of Disobedience",10-11,"Recognizing disobedience as sin; identifying personal acts of disobedience against parents, teachers, and God"
Jss 1,Noel Term,10,Christian Religious Studies,"Disobedience Against National Laws",10-11,"Understanding consequences of breaking national laws; importance of obeying traffic rules, respecting public property, reciting national pledge"
Jss 1,Calvary Term,1,Christian Religious Studies,"Call to Repentance: King David",10-11,"Learning how King David repented after Nathan confronted him about Uriah's death; Psalm 51 as prayer of repentance (2 Samuel 12:7-13)"
Jss 1,Calvary Term,2,Christian Religious Studies,"Call to Repentance: Zaccheus",10-11,"Story of Zaccheus the tax collector who climbed sycamore tree, met Jesus, repented and restored stolen money (Luke 19:1-9)"
Jss 1,Calvary Term,3,Christian Religious Studies,"The Ninevites' Repentance",10-11,"Understanding how people of Nineveh repented when Jonah preached; God's mercy in sparing the city (Jonah 3:1-10)"
Jss 1,Calvary Term,4,Christian Religious Studies,"John the Baptist's Call to Repentance",10-11,"Learning about John the Baptist preaching repentance; demands for genuine repentance and changed behavior (Luke 3:1-14)"
Jss 1,Calvary Term,5,Christian Religious Studies,"Consequences of Lack of Repentance",10-11,"Understanding punishment that came upon Eli's family for refusing to repent of their sins (1 Samuel 3:18; 4:10-21)"
Jss 1,Calvary Term,6,Christian Religious Studies,"Abraham's Call and Obedience",10-11,"Narrating how God called Abraham to leave his country; Abraham's obedient response to God's call (Genesis 12:1-9)"
Jss 1,Calvary Term,7,Christian Religious Studies,"Blessings from Abraham's Obedience",10-11,"Understanding blessings Abraham received for obeying God: numerous descendants, land, becoming father of nations; birth of Isaac (Genesis 21:1-8)"
Jss 1,Calvary Term,8,Christian Religious Studies,"Abraham's Sacrifice of Isaac",10-11,"Dramatizing how Abraham demonstrated ultimate obedience by being willing to sacrifice Isaac; God providing a ram (Genesis 22:1-18)"
Jss 1,Calvary Term,9,Christian Religious Studies,"Joseph Sold into Egypt",10-11,"Learning about Joseph's brothers selling him into slavery; God's plan working through difficult circumstances (Genesis 37:12-36)"
Jss 1,Calvary Term,10,Christian Religious Studies,"Joseph's Service in Egypt",10-11,"Understanding how Joseph served faithfully in prison and Pharaoh's house; rising to become governor controlling grain stores (Genesis 41:37-57)"
Jss 1,Summer Term,1,Christian Religious Studies,"Ruth's Faithful Service",10-11,"Story of Ruth's loyalty and service to her mother-in-law Naomi; choosing to follow Naomi's God (Ruth 1:7-18)"
Jss 1,Summer Term,2,Christian Religious Studies,"Lessons from Service of Joseph and Ruth",10-11,"Identifying blessings from faithful service; understanding problems and rewards of serving God and others (1 Peter 2:18-25)"
Jss 1,Summer Term,3,Christian Religious Studies,"Types of Family",10-11,"Understanding nuclear family (parents and children) and extended family (including grandparents, uncles, aunts, cousins)"
Jss 1,Summer Term,4,Christian Religious Studies,"Family Members and Their Roles",10-11,"Identifying family members; understanding different roles in the family from Ephesians 6:1-9, Colossians 3:18-21"
Jss 1,Summer Term,5,Christian Religious Studies,"Drawing Family Tree",10-11,"Learning to draw family tree showing relationships; recognizing importance of maintaining good family name and reputation"
Jss 1,Summer Term,6,Christian Religious Studies,"Relationship in School",10-11,"Identifying school family: principals, teachers, prefects, friends; writing names of teachers and their subject areas"
Jss 1,Summer Term,7,Christian Religious Studies,"Choosing Good Friends",10-11,"Learning factors for choosing friends: common interests, age; studying friendship of David and Jonathan (1 Samuel 18:1-5)"
Jss 1,Summer Term,8,Christian Religious Studies,"Dangers of Bad Friendship",10-11,"Understanding evils of bad friendship: cultism, stealing, drug addiction, prostitution, laziness, truancy (Proverbs 1:10, 2 Thessalonians 3:6-13)"
Jss 1,Summer Term,9,Christian Religious Studies,"Relationship in the Community",10-11,"Identifying community leaders; ways of sustaining relationships: respecting elders, obeying laws, caring for the needy (Matthew 25:31-46)"
Jss 1,Summer Term,10,Christian Religious Studies,"Relationship in the Church",10-11,"Learning how to love Christian brothers and sisters; maintaining church relationships through love and respect (Romans 12:9-21, 1 Peter 3:8-13)"
