class,term,week,subject,topic,agegroup,context
Jss 1,Noel Term,1,Yoruba Language,"Iro Ede: Konsonanti (Consonants)",10-11,"Learning Yoruba consonant sounds: b,d,f,g,gb,h,j,k,l,m,n,p,r,s,ṣ,t,w,y; practicing pronunciation and recognition"
Jss 1,Noel Term,2,Yoruba Language,"Iro Ede: Faweli Airanmupe (Oral Vowels)",10-11,"Learning oral vowel sounds in Yoruba: a,e,ẹ,o,ọ,u; understanding pronunciation differences and proper articulation"
Jss 1,Noel Term,3,Yoruba Language,"Iro Ede: Faweli Aránmúpè (Nasal Vowels)",10-11,"Learning nasal vowel sounds: an,ẹn,in,ọn,un; practicing nasalization in Yoruba pronunciation"
Jss 1,Noel Term,4,Yoruba Language,"Onka: 501-1000 (Numbers 501-1000)",10-11,"Learning to count and recognize numbers from five hundred and one to one thousand in Yoruba; understanding number patterns"
Jss 1,Noel Term,5,Yoruba Language,"Akaye: Kika ati Oye (Reading Comprehension)",10-11,"Reading age-appropriate Yoruba passages; answering comprehension questions orally and in writing to extract main ideas"
Jss 1,Noel Term,6,Yoruba Language,"Akoto Atijo ati Ode Oni (Old and New Orthography)",10-11,"Understanding what orthography is; comparing old and new Yoruba writing systems; learning differences in vowels, consonants, tone marks"
Jss 1,Noel Term,7,Yoruba Language,"Amulo Akoto Ode Oni (Modern Orthography Application)",10-11,"Applying modern Yoruba orthography in writing; understanding correct spelling, word division, tone marking in contemporary Yoruba"
Jss 1,Noel Term,8,Yoruba Language,"Aroko Oniroyin (News Report Writing)",10-11,"Learning structure of news reports: title, introduction, body paragraphs, conclusion; writing news reports on events"
Jss 1,Noel Term,9,Yoruba Language,"Leta: Orisii Meji (Types of Letters)",10-11,"Understanding two types of letters: gbefe (informal/personal) and aigbagbefe (formal/official); learning differences between them"
Jss 1,Noel Term,10,Yoruba Language,"Kiko Leta Gbefe ati Aigbagbefe (Writing Letters)",10-11,"Learning letter format: address, date, salutation, body, closing; writing both informal and formal letters in Yoruba"
Jss 1,Calvary Term,1,Yoruba Language,"Oro Oruko: Aiseda ati Iseda (Nouns: Simple and Derived)",10-11,"Understanding nouns in Yoruba; learning simple nouns (aiseda) and derived nouns (iseda) with examples"
Jss 1,Calvary Term,2,Yoruba Language,"Iseda Oro Oruko (Formation of Nouns)",10-11,"Learning different methods of forming nouns in Yoruba through various word formation processes; practicing with examples"
Jss 1,Calvary Term,3,Yoruba Language,"Agbeyewo Litireso Apileko (Prose Literature Analysis)",10-11,"Learning features to examine in written literature: theme, setting, characterization, plot, language use, style"
Jss 1,Calvary Term,4,Yoruba Language,"Ogangan-ipo: Abuda Re (Context in Oral Literature)",10-11,"Understanding context in oral literature: participants (performers/audience), time, place, purpose, musical instruments, events, dialogue"
Jss 1,Calvary Term,5,Yoruba Language,"Agbeyewo Litireso Alohun (Oral Literature Analysis)",10-11,"Learning to analyze oral literature considering context; understanding importance of performance setting in oral traditions"
Jss 1,Calvary Term,6,Yoruba Language,"Isori Litireso Apileko (Types of Written Literature)",10-11,"Understanding three types of Yoruba written literature: poetry (ewi), prose fiction (itan aroso), drama (ere onitan)"
Jss 1,Calvary Term,7,Yoruba Language,"Afiwe Litireso Apileko ati Alohun (Written vs Oral Literature)",10-11,"Comparing written and oral literature; understanding differences in features, presentation, and characteristics"
Jss 1,Calvary Term,8,Yoruba Language,"Isori Litireso Alohun: Ewi (Oral Poetry Types)",10-11,"Learning oral poetry types: songs (orin), incantations (isale), chants (arangbo); understanding their features and purposes"
Jss 1,Calvary Term,9,Yoruba Language,"Isori Litireso Alohun: Itan Aroso (Oral Narratives)",10-11,"Learning oral narrative types: folktales (alo onitan), myths (itan iwase), legends (itan akonikayefi); understanding storytelling"
Jss 1,Calvary Term,10,Yoruba Language,"Isori Litireso Alohun: Ere Onitan (Oral Drama)",10-11,"Learning oral dramatic forms: masquerade performances (eegun alare), traditional festivals (odun ibile); understanding performance arts"
Jss 1,Summer Term,1,Yoruba Language,"Isedale Omo Yoruba (Origin of Yoruba People)",10-11,"Learning history of Yoruba people from Oduduwa; understanding how Yoruba civilization began and spread"
Jss 1,Summer Term,2,Yoruba Language,"Itankale Yoruba Leyin Iku Oduduwa (Yoruba Expansion)",10-11,"Understanding how Yoruba spread after Oduduwa's death to: Owu, Sabee, Ketu, Popo, Oyo, Ijesa, Ijebu, Egba territories"
