class,term,week,subject,topic,agegroup,context
Jss 2,Noel Term,1,General Mathematics,"Standard Form: Whole Numbers",11-12,"Expressing whole numbers in standard form using the format a × 10ⁿ where 1 ≤ a < 10 and n ≥ 0"
Jss 2,Noel Term,2,General Mathematics,"Standard Form: Decimal Numbers",11-12,"Expressing decimal numbers in standard form using the format a × 10ⁿ where 1 ≤ a < 10 and n ≤ 0"
Jss 2,Noel Term,3,General Mathematics,"Prime Factors and Prime Factorization",11-12,"Finding prime factors of numbers not greater than 200; expressing numbers as products of prime factors"
Jss 2,Noel Term,4,General Mathematics,"LCM and HCF",11-12,"Finding the Least Common Multiple and Highest Common Factor of given numbers using various methods"
Jss 2,Noel Term,5,General Mathematics,"Squares and Square Roots",11-12,"Identifying perfect squares; finding squares of numbers and square roots using factor method and tables"
Jss 2,Noel Term,6,General Mathematics,"Fractions, Ratios, Decimals and Percentages",11-12,"Converting between fractions, ratios, decimals, and percentages; understanding their relationships"
Jss 2,Noel Term,7,General Mathematics,"Household and Office Arithmetic",11-12,"Solving practical problems involving electricity bills, water rates, and family budgets"
Jss 2,Noel Term,8,General Mathematics,"Commercial Arithmetic",11-12,"Solving problems on profit, loss, simple interest, discount, and commission in business transactions"
Jss 2,Noel Term,9,General Mathematics,"Approximation: Decimal Places",11-12,"Rounding numbers to given decimal places; understanding accuracy and precision in calculations"
Jss 2,Noel Term,10,General Mathematics,"Approximation: Significant Figures",11-12,"Rounding numbers to required significant figures; applying approximation to real-life situations"
Jss 2,Calvary Term,1,General Mathematics,"Using Mathematical Tables",11-12,"Using square and square root tables to find squares and square roots of numbers quickly"
Jss 2,Calvary Term,2,General Mathematics,"Charts, Records and Schedules",11-12,"Interpreting and using distance charts, flight schedules, timetables, and other statistical records"
Jss 2,Calvary Term,3,General Mathematics,"Multiplication and Division of Directed Numbers",11-12,"Understanding rules for multiplying and dividing positive and negative numbers (integers)"
Jss 2,Calvary Term,4,General Mathematics,"Expansion of Algebraic Expressions",11-12,"Expanding expressions like a(b+c) and (a+b)(c+d) using distributive property"
Jss 2,Calvary Term,5,General Mathematics,"Factorization of Algebraic Expressions",11-12,"Factorizing simple algebraic expressions; finding common factors and grouping terms"
Jss 2,Calvary Term,6,General Mathematics,"Quadratic Expressions: Expansion and Factorization",11-12,"Using quadratic equation box to expand and factorize expressions of the form (x+a)(x+b)"
Jss 2,Calvary Term,7,General Mathematics,"Algebraic Fractions",11-12,"Simplifying algebraic expressions with monomial denominators; solving word problems with algebraic fractions"
Jss 2,Calvary Term,8,General Mathematics,"Simple Equations",11-12,"Solving linear equations in one variable; finding unknown values in equations like 3n - 4 = 2n + 1"
Jss 2,Calvary Term,9,General Mathematics,"Linear Inequalities in One Variable",11-12,"Identifying, solving, and representing linear inequalities on number lines; understanding inequality symbols"
Jss 2,Calvary Term,10,General Mathematics,"Word Problems: Inequalities",11-12,"Interpreting and solving real-life word problems that involve linear inequalities in one variable"
Jss 2,Summer Term,1,General Mathematics,"Cartesian Plane and Plotting Points",11-12,"Identifying x-axis and y-axis; plotting points using coordinates on the Cartesian coordinate system"
Jss 2,Summer Term,2,General Mathematics,"Graphs of Linear Equations",11-12,"Preparing tables of values and plotting graphs of linear equations in two variables"
Jss 2,Summer Term,3,General Mathematics,"Linear Graphs from Real-Life Situations",11-12,"Plotting and interpreting distance-time graphs, velocity-time graphs, and item-price graphs"
Jss 2,Summer Term,4,General Mathematics,"Properties of Plane Shapes",11-12,"Studying properties of parallelogram, rhombus, and kite; identifying these shapes in the environment"
Jss 2,Summer Term,5,General Mathematics,"Scale Drawing",11-12,"Drawing objects to scale; converting between actual length and scale measurements for practical applications"
Jss 2,Summer Term,6,General Mathematics,"Angles: Sum in Polygons",11-12,"Finding sum of angles in triangles, quadrilaterals, and n-sided polygons using the formula 2n-4 right angles"
Jss 2,Summer Term,7,General Mathematics,"Angles of Elevation and Depression",11-12,"Understanding and using angles of elevation and depression to calculate heights and distances"
Jss 2,Summer Term,8,General Mathematics,"Bearing and Navigation",11-12,"Using cardinal points, 3-digit bearing, and compass bearing to locate positions and find distances"
Jss 2,Summer Term,9,General Mathematics,"Construction of Triangles and Angle Bisection",11-12,"Constructing triangles using ruler and compass; bisecting angles using geometric construction methods"
Jss 2,Summer Term,10,General Mathematics,"Data Presentation and Probability",11-12,"Organizing data in frequency tables, drawing pie charts, and calculating probability of chance events"
