class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,General Mathematics,"Binary Number System: Operations and Conversions",12-13,"Understanding binary system operations (addition, subtraction, multiplication, division) and converting between binary and other number bases"
Jss 3,Noel Term,2,General Mathematics,"Using Computers for Mathematical Calculations",12-13,"Learning to use computer systems to perform simple mathematical calculations and solve numerical problems"
Jss 3,Noel Term,3,General Mathematics,"Translating Word Problems into Numerical Expressions",12-13,"Converting word problems into mathematical expressions and equations; solving expressions with brackets and fractions"
Jss 3,Noel Term,4,General Mathematics,"Direct and Inverse Proportion",12-13,"Understanding direct proportion (y ∝ x) and inverse proportion (y ∝ 1/x); solving proportion problems"
Jss 3,Noel Term,5,General Mathematics,"Applications of Direct and Inverse Proportion",12-13,"Applying proportions to practical problems involving speed, productivity, consumption, and reciprocals in real life"
Jss 3,Noel Term,6,General Mathematics,"Compound Interest",12-13,"Understanding compound interest formula; calculating compound interest on loans, mortgages, fixed deposits, and pensions"
Jss 3,Noel Term,7,General Mathematics,"Rational and Non-Rational Numbers",12-13,"Identifying rational numbers (fractions, terminating/repeating decimals) and irrational numbers (π, √2); determining value of pi practically"
Jss 3,Noel Term,8,General Mathematics,"Addition and Subtraction in Base 2",12-13,"Performing addition of two or three 3-digit binary numbers and subtraction of two 3-digit binary numbers"
Jss 3,Noel Term,9,General Mathematics,"Multiplication in Base 2",12-13,"Carrying out multiplication of two 2-digit binary numbers using binary multiplication rules and procedures"
Jss 3,Noel Term,10,General Mathematics,"Division in Base 2",12-13,"Performing division of two to 3-digit binary numbers; understanding binary division process and remainders"
Jss 3,Calvary Term,1,General Mathematics,"Factorization of Algebraic Expressions",12-13,"Factorizing expressions: ax + ay, 3m + pq + 3p + mp, a² - b², a² - 2ab + b² using various methods"
Jss 3,Calvary Term,2,General Mathematics,"Factorization Using Quadratic Equation Box",12-13,"Using quadratic equation box to factorize quadratic expressions; solving word problems involving factorization"
Jss 3,Calvary Term,3,General Mathematics,"Simple Equations Involving Fractions",12-13,"Solving simple linear equations with fractions; translating word problems into equations with fractions and solving them"
Jss 3,Calvary Term,4,General Mathematics,"Simultaneous Linear Equations: Graphical Method",12-13,"Compiling table of values, plotting graphs, and solving simultaneous equations by finding intersection points graphically"
Jss 3,Calvary Term,5,General Mathematics,"Simultaneous Equations: Elimination Method",12-13,"Solving simultaneous linear equations in two variables using elimination method; applying to real-life problems"
Jss 3,Calvary Term,6,General Mathematics,"Simultaneous Equations: Substitution Method",12-13,"Solving simultaneous linear equations using substitution method; applying to practical real-life situations"
Jss 3,Calvary Term,7,General Mathematics,"Similar Shapes and Enlargement",12-13,"Identifying similar triangles, rectangles, squares, cubes, cuboids; understanding scale factors and enlarging figures"
Jss 3,Calvary Term,8,General Mathematics,"Lengths, Areas and Volumes of Similar Figures",12-13,"Understanding ratio relationships: if lengths are 1:k, then areas are 1:k² and volumes are 1:k³ for similar figures"
Jss 3,Calvary Term,9,General Mathematics,"Introduction to Trigonometry",12-13,"Learning sine, cosine, and tangent of acute angles as ratios of sides in right-angled triangles"
Jss 3,Calvary Term,10,General Mathematics,"Applications of Trigonometric Ratios",12-13,"Using trigonometric ratios (sin, cos, tan) to solve practical problems involving distances, heights, and lengths"
Jss 3,Summer Term,1,General Mathematics,"Area of Triangles and Parallelograms",12-13,"Deriving and using formulas to calculate areas of triangles (½ × base × height) and parallelograms (base × height)"
Jss 3,Summer Term,2,General Mathematics,"Area of Trapezium and Circles",12-13,"Finding areas of trapeziums using formula ½(a+b)h and circles using πr²; calculating areas of sectors"
Jss 3,Summer Term,3,General Mathematics,"Word Problems Involving Area",12-13,"Solving real-world problems involving areas of various plane figures; applying area formulas to practical situations"
Jss 3,Summer Term,4,General Mathematics,"Construction of Angles: 30° and 45°",12-13,"Using mathematical instruments (compass, ruler, protractor) to construct angles of 30° and 45° accurately"
Jss 3,Summer Term,5,General Mathematics,"Copying Angles and Constructing Plane Shapes",12-13,"Using pair of compasses to copy given angles; constructing simple plane shapes like triangles and quadrilaterals"
Jss 3,Summer Term,6,General Mathematics,"Measures of Central Tendency: Mean, Median, Mode",12-13,"Calculating mean (average), median (middle value), and mode (most frequent value) for ungrouped data sets"
Jss 3,Summer Term,7,General Mathematics,"Range and Applications of Central Tendency",12-13,"Finding range (difference between highest and lowest values); using mean, median, mode to analyze data"
Jss 3,Summer Term,8,General Mathematics,"Data Presentation: Pie Charts",12-13,"Representing data using pie charts; calculating angles for sectors and interpreting information from pie charts"
Jss 3,Summer Term,9,General Mathematics,"Quantitative Reasoning Problems",12-13,"Solving quantitative aptitude problems across topics: binary numbers, proportions, similar shapes, areas, statistics"
Jss 3,Summer Term,10,General Mathematics,"Integration of Mathematical Concepts",12-13,"Applying learned concepts from algebra, geometry, trigonometry, and statistics to solve comprehensive mathematical problems"
