class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Social Studies,"Contents of Social Studies",12-13,"Understanding the meaning and components of social studies: facts, concepts, generalizations, skills, values, and attitudes"
Jss 3,Noel Term,2,Social Studies,"Cognitive, Affective and Psychomotor Contents",12-13,"Exploring the three domains of learning in social studies: thinking skills, emotional development, and physical skills"
Jss 3,Noel Term,3,Social Studies,"Extended Family Members",12-13,"Identifying members of extended family including grandparents, uncles, aunties, cousins, nephews, and nieces"
Jss 3,Noel Term,4,Social Studies,"Roles of Extended Family in Child Development",12-13,"Understanding how extended family acts as agents of socialization and supports nuclear family members"
Jss 3,Noel Term,5,Social Studies,"Human Trafficking: Meaning and Factors",12-13,"Understanding recruitment, transportation, and transfer of persons across borders for exploitation; examining causes like poverty and false promises"
Jss 3,Noel Term,6,Social Studies,"Consequences of Human Trafficking",12-13,"Analyzing the social impact including loss of human resources, life of crime, sexual violence, and weakened family ties"
Jss 3,Noel Term,7,Social Studies,"Preventing Human Trafficking",12-13,"Exploring preventive measures through awareness raising, education, advocacy, and legislation"
Jss 3,Noel Term,8,Social Studies,"Harmful Traditional Practices",12-13,"Understanding practices that bring physical, mental, and social dangers like child labor, female circumcision, and early marriage"
Jss 3,Noel Term,9,Social Studies,"Consequences of Harmful Traditional Practices",12-13,"Examining problems at childbirth, exploitation of children, deprivation of schooling, and VVF (Vesicovaginal Fistula)"
Jss 3,Noel Term,10,Social Studies,"Preventing Harmful Traditional Practices",12-13,"Learning about public enlightenment and measures to eradicate harmful practices in Nigerian communities"
Jss 3,Calvary Term,1,Social Studies,"Peace: Meaning and Types",12-13,"Understanding peace as cordial living among people; differentiating between positive peace and negative/uneasy peace"
Jss 3,Calvary Term,2,Social Studies,"Importance of Peace",12-13,"Exploring benefits of peace including lack of violent conflict, progress and development, happiness, and reduced stress"
Jss 3,Calvary Term,3,Social Studies,"Promoting Peaceful Living in Society",12-13,"Learning ways to promote peace through tolerance, social justice, respect for human rights, and conflict prevention"
Jss 3,Calvary Term,4,Social Studies,"Social Conflicts: Meaning and Types",12-13,"Understanding conflict as interpersonal misunderstanding; distinguishing between non-violent and violent conflicts"
Jss 3,Calvary Term,5,Social Studies,"Examples and Causes of Conflicts",12-13,"Examining inter-ethnic conflicts (Urhobo/Itsekiri, Kataf/Hausa) and communal conflicts (Ife/Modakeke, Aguleri/Umuleri)"
Jss 3,Calvary Term,6,Social Studies,"Consequences of Conflicts",12-13,"Understanding the destructive effects of violent conflicts on individuals, communities, and national development"
Jss 3,Calvary Term,7,Social Studies,"Conflict Management and Resolution",12-13,"Learning non-violent methods like dialogue, compromise, arbitration, mediation, and court rulings"
Jss 3,Calvary Term,8,Social Studies,"Attributes for Conflict Resolution",12-13,"Developing mutual understanding, respect for rule of law, tolerance, self-control, and respect for opposing views"
Jss 3,Calvary Term,9,Social Studies,"Cultism: Meaning and Causes",12-13,"Understanding cultism and its causes including peer pressure, poor leadership, drug abuse, and exposure to foreign values"
Jss 3,Calvary Term,10,Social Studies,"Consequences and Solutions to Cultism",12-13,"Examining violence, moral decadence, criminal tendencies; proposing solutions to prevent cultism in Nigeria"
Jss 3,Summer Term,1,Social Studies,"Drug Trafficking: Meaning and Reasons",12-13,"Understanding illegal drug trade and reasons including poverty, ignorance, and greed that drive people to trafficking"
Jss 3,Summer Term,2,Social Studies,"Consequences of Drug Trafficking",12-13,"Examining bad image for country, imprisonment, death penalty, and forfeiture of assets as consequences"
Jss 3,Summer Term,3,Social Studies,"Preventing Drug Trafficking",12-13,"Learning prevention through education, poverty alleviation, legislation, and international cooperation; role of NDLEA"
Jss 3,Summer Term,4,Social Studies,"Social Studies and Nation Building",12-13,"Understanding how social studies knowledge contributes to building a better Nigerian society and good citizenship"
Jss 3,Summer Term,5,Social Studies,"Human Rights and Social Justice",12-13,"Exploring fundamental human rights and the importance of social justice in promoting peaceful coexistence"
Jss 3,Summer Term,6,Social Studies,"Family Values and Child Protection",12-13,"Integrating lessons on extended family roles, child protection from trafficking, and harmful traditional practices"
Jss 3,Summer Term,7,Social Studies,"Cultural Preservation and Modernization",12-13,"Balancing respect for positive cultural practices while eliminating harmful traditions in Nigerian communities"
Jss 3,Summer Term,8,Social Studies,"Youth and Social Problems",12-13,"Comprehensive review of social issues affecting youth: cultism, drug abuse, trafficking, and peer pressure"
Jss 3,Summer Term,9,Social Studies,"Building a Peaceful Nigeria",12-13,"Applying conflict resolution skills, tolerance, and peaceful living principles to achieve national unity and development"
Jss 3,Summer Term,10,Social Studies,"Citizens' Responsibility in Social Development",12-13,"Understanding individual and collective roles in combating social problems and promoting national progress"
