class,term,week,subject,topic,agegroup,context
Jss 3,Noel Term,1,Yoruba Language,"Akaye - Kika ati Oye Akaye",12-13,"Reading comprehension passages on contemporary social issues like drug abuse, religious conflicts, road safety, women and children's rights, with focus on understanding content and answering questions"
Jss 3,Noel Term,2,Yoruba Language,"Akaye - Akanlọ Ede ati Koko Oro",12-13,"Identifying and explaining idiomatic expressions, literary devices, and main themes within comprehension passages to deepen understanding of Yoruba language usage"
Jss 3,Noel Term,3,Yoruba Language,"Onka - Egbaa si Egbaawaa (2,000 - 20,000)",12-13,"Learning to read and write numbers in Yoruba from 2,000 to 20,000, understanding the pattern of Egbaa (2,000), Egbaaji (4,000), Egbaata (6,000), and converting between figures and words"
Jss 3,Noel Term,4,Yoruba Language,"Onka - Kika Onka Aarin (Numbers In Between)",12-13,"Reading and writing numbers between thousands in Yoruba, such as 4,020 (okoo le legbaaji) and 5,080 (orin le leedegbaata), mastering intermediate number expressions"
Jss 3,Noel Term,5,Yoruba Language,"Akoto Yoruba - Ipinnu JCC 1974",12-13,"Understanding the 1974 Joint Consultative Committee (JCC) decision on Yoruba orthography including vowels (faweli), consonants (konsonanti), tone marks (ami ohun), and syllabication (ipinro)"
Jss 3,Noel Term,6,Yoruba Language,"Ise Oruko ati Aropo Oruko - Oluwa",12-13,"Understanding the function of nouns and pronouns as subject (Oluwa) in sentences, identifying how they initiate actions and form the basis of Yoruba sentence structure"
Jss 3,Noel Term,7,Yoruba Language,"Ise Oruko ati Aropo Oruko - Abo",12-13,"Learning about nouns and pronouns functioning as objects in sentences, including direct object (Abo fun oro ise) and indirect object (Abo fun oro atokun)"
Jss 3,Noel Term,8,Yoruba Language,"Ise Oruko ati Aropo Oruko - Eyan",12-13,"Understanding how nouns and pronouns function as complements (Eyan) in sentences, replacing other nouns to complete meaning and maintain grammatical structure"
Jss 3,Noel Term,9,Yoruba Language,"Gbolohun - Identifying Nouns and Pronouns",12-13,"Practical exercises in identifying and underlining nouns and pronouns serving different grammatical functions (subject, object, complement) within various sentence structures"
Jss 3,Noel Term,10,Yoruba Language,"Ere Onitan - Ibudo ati Ahunpo",12-13,"Studying selected Yoruba historical plays, analyzing plot structure (ibudo), sequence of events (ahunpo), and how the story unfolds from beginning to end"
Jss 3,Calvary Term,1,Yoruba Language,"Ere Onitan - Asa to Suyo ati Koko Oro",12-13,"Analyzing cultural values (asa to suyo) embedded in historical plays and identifying major themes (koko oro) that relate to contemporary society"
Jss 3,Calvary Term,2,Yoruba Language,"Ere Onitan - Eda Itan ati Ifiwaweda",12-13,"Studying characters (eda itan) in historical plays, analyzing their characterization (ifiwaweda), roles, and relationships within the dramatic narrative"
Jss 3,Calvary Term,3,Yoruba Language,"Ere Onitan - Ilo Ede ati Isere",12-13,"Understanding language use (ilo ede) in plays, learning moral lessons (eko), and participating in dramatic performances (isere) to bring characters to life"
Jss 3,Calvary Term,4,Yoruba Language,"Asayan Ewi - Kika ati Oye",12-13,"Reading and understanding selected Yoruba poems on contemporary themes like gender equality, women's issues, economic systems, religious/cultural tolerance, and youth lifestyle challenges"
Jss 3,Calvary Term,5,Yoruba Language,"Asayan Ewi - Ona-ede ati Isowolo Ede",12-13,"Identifying and analyzing poetic devices (ona-ede) and figurative language (isowolo ede) used in Yoruba poetry to enhance meaning and artistic expression"
Jss 3,Calvary Term,6,Yoruba Language,"Asayan Ewi - Koko Oro ati Eko",12-13,"Extracting themes (koko oro) and moral lessons (eko) from poems, relating poetic messages to real-life situations and contemporary societal issues"
Jss 3,Calvary Term,7,Yoruba Language,"Itan Aroso - Ibudo, Ahunpo ati Asa",12-13,"Studying selected Yoruba prose fiction, analyzing setting (ibudo), plot development (ahunpo), and cultural practices (asa) reflected in the narrative"
Jss 3,Calvary Term,8,Yoruba Language,"Itan Aroso - Eda Itan ati Ifiwaweda",12-13,"Analyzing characters (eda itan) in prose fiction, their characterization (ifiwaweda), personality traits, and roles in advancing the story's themes"
Jss 3,Calvary Term,9,Yoruba Language,"Itan Aroso - Koko Oro ati Ona-ede",12-13,"Identifying main themes (koko oro) in prose narratives and analyzing stylistic devices (ona-ede) and language techniques (isowolo ede) used by the author"
Jss 3,Calvary Term,10,Yoruba Language,"Itan Aroso - Afiwe Isele ati Oju Aye",12-13,"Comparing events in fictional narratives with real-life situations, understanding how literature reflects and comments on contemporary societal issues"
Jss 3,Summer Term,1,Yoruba Language,"Iwa Ika si Omolakeji - Latijo",12-13,"Understanding traditional forms of cruelty and wickedness against fellow humans in ancient times including slavery (ikonileru), human sacrifice (fifi eniyan rubo), and other injustices"
Jss 3,Summer Term,2,Yoruba Language,"Iwa Ika si Omolakeji - Lode Oni",12-13,"Examining contemporary forms of cruelty including kidnapping (jijinigbe), murder (ipaniyan), child labor (lilo omo nilokulo), fraud (ifomosowo), and domestic violence (lilu aya)"
